vx,vy,r
5.56409,-0.340272,0.0630102
5.59917,-0.354847,0.118691
5.62963,-0.350331,0.0309762
5.65936,-0.354891,0.0813465
5.71662,-0.343617,0.0862367
5.71197,-0.362202,0.084833
5.71186,-0.353878,0.0351958
5.72623,-0.362295,0.0677822
5.75278,-0.32943,0.0913624
5.74117,-0.341978,0.0423276
5.72194,-0.326248,0.00197792
5.72395,-0.352268,0.102489
5.69107,-0.344095,0.0908416
5.67413,-0.361879,0.112635
5.61506,-0.363084,0.0759197
5.57189,-0.382515,0.0868239
5.50464,-0.364446,0.044033
5.43081,-0.390768,0.0584831
5.39436,-0.376574,0.0872913
5.40905,-0.376467,0.0858789
5.38138,-0.37872,0.0938445
5.35581,-0.393727,0.118017
5.36145,-0.394863,0.139611
5.35257,-0.405694,0.142396
5.37427,-0.414349,0.167306
5.3904,-0.418166,0.144388
5.39446,-0.425476,0.17381
5.42781,-0.403702,0.133715
5.43917,-0.435397,0.0139994
5.45322,-0.40532,0.055502
5.46035,-0.406589,0.0581615
5.48595,-0.380651,0.0418791
5.50608,-0.382396,0.0961219
5.55692,-0.366259,0.0997784
5.58175,-0.379842,0.0880585
5.5853,-0.348894,0.100282
5.61277,-0.371568,0.154535
5.62851,-0.349034,0.082132
5.63321,-0.356965,0.0994453
5.63488,-0.330217,0.115689
5.64861,-0.323335,0.0362974
5.69258,-0.296017,0.0479444
5.6845,-0.303937,0.0625276
5.66041,-0.287649,0.0790825
5.63846,-0.278709,0.0491407
5.56898,-0.268589,0.0494597
5.4995,-0.254721,0.0440166
5.4268,-0.239213,0.0102313
5.39351,-0.21175,0.067445
5.37375,-0.174579,0.0356987
5.38347,-0.162739,0.0541779
5.35722,-0.160878,0.052294
5.36197,-0.140978,0.0648176
5.38242,-0.114395,0.0187203
5.3959,-0.101819,0.012685
5.41251,-0.109999,0.0901463
5.44205,-0.0941564,0.0774695
5.44796,-0.0795952,0.0407989
5.47979,-0.072772,0.0640777
5.49547,-0.0833649,0.0923631
5.51884,-0.044379,0.114448
5.56713,-0.0450578,0.0702094
5.59016,-0.0106405,0.0727424
5.61684,-0.00790328,0.0982133
5.63227,0.00954521,0.0575565
5.62395,0.0413286,0.0437251
5.65399,0.0324624,0.0364255
5.64585,0.0426159,0.066973
5.62196,0.0446519,0.0691086
5.62143,0.0766089,0.0783642
5.6094,0.063508,0.123259
5.59478,0.0778966,0.022325
5.61856,0.0857829,0.0430458
5.59232,0.0730622,0.097162
5.59307,0.09596,0.0631946
5.60922,0.106856,0.093568
5.59726,0.114082,0.0881512
5.56814,0.11644,0.0886156
5.57022,0.118686,0.0574951
5.56195,0.119728,0.0649355
5.55195,0.1178,0.0511796
5.55518,0.122848,0.0586246
5.55829,0.0962448,0.0378837
5.56642,0.111787,0.0381301
5.56375,0.106181,0.0860635
5.54754,0.0969497,0.0556375
5.55072,0.0663132,0.0707842
5.54437,0.0659559,0.0501654
5.53645,0.0788428,0.0870276
5.52941,0.0560071,0.0313068
5.50337,0.0472755,0.0841103
5.49986,0.046912,0.0585364
5.51624,0.0360183,0.0527351
5.51268,0.0476036,0.0640256
5.52409,0.0469023,0.0951952
5.50879,0.0531094,0.035944
5.48682,0.0416791,0.0552961
5.48518,0.0387744,0.101678
5.46745,0.0352703,0.077355
